Date of Census,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Individuals in Adult Families in Shelter
04/14/2019,37692,21062,58754,12008,4430,16438,12012,16007,21062,37069,2489,5247
04/15/2019,37738,21021,58759,12082,4439,16521,11977,15972,21021,36993,2489,5245
04/16/2019,37771,21023,58794,12095,4461,16556,11968,15963,21023,36986,2492,5252
04/17/2019,37739,20954,58693,12126,4455,16581,11931,15907,20954,36861,2492,5251
04/18/2019,37678,20915,58593,12098,4457,16555,11918,15897,20915,36812,2479,5226
04/19/2019,37592,20924,58516,12018,4425,16443,11920,15897,20924,36821,2491,5252
04/20/2019,37630,20940,58570,12041,4407,16448,11932,15928,20940,36868,2492,5254
04/21/2019,37692,20948,58640,12074,4419,16493,11935,15935,20948,36883,2497,5264
04/22/2019,37712,20874,58586,12119,4435,16554,11894,15885,20874,36759,2502,5273
04/23/2019,37759,20858,58617,12110,4442,16552,11896,15897,20858,36755,2520,5310
04/24/2019,37740,20909,58649,12108,4452,16560,11916,15912,20909,36821,2499,5268
04/25/2019,37738,20927,58665,12108,4435,16543,11920,15901,20927,36828,2512,5294
04/26/2019,37719,20963,58682,12076,4412,16488,11938,15934,20963,36897,2513,5297
04/27/2019,37700,20945,58645,12050,4423,16473,11942,15944,20945,36889,2505,5283
04/28/2019,37801,20941,58742,12136,4438,16574,11946,15945,20941,36886,2504,5282
04/29/2019,37802,20905,58707,12142,4441,16583,11929,15929,20905,36834,2508,5290
04/30/2019,37781,20931,58712,12079,4445,16524,11945,15953,20931,36884,2515,5304
05/01/2019,37689,20921,58610,12035,4407,16442,11954,15947,20921,36868,2513,5300
05/02/2019,37651,20864,58515,12049,4398,16447,11916,15903,20864,36767,2513,5301
05/03/2019,37542,20808,58350,11977,4388,16365,11895,15865,20808,36673,2520,5312
05/04/2019,37526,20870,58396,11957,4377,16334,11916,15901,20870,36771,2507,5291
05/05/2019,37657,20883,58540,12059,4397,16456,11923,15914,20883,36797,2505,5287
05/06/2019,37692,20873,58565,12062,4403,16465,11924,15919,20873,36792,2516,5308
05/07/2019,37663,20882,58545,12079,4380,16459,11922,15906,20882,36788,2513,5298
05/08/2019,37682,20902,58584,12068,4375,16443,11936,15913,20902,36815,2525,5326
05/09/2019,37680,20937,58617,12052,4384,16436,11954,15932,20937,36869,2519,5312
05/10/2019,37628,20926,58554,11999,4364,16363,11961,15935,20926,36861,2527,5330
05/11/2019,37570,20924,58494,11987,4336,16323,11965,15941,20924,36865,2514,5306
05/12/2019,37702,20928,58630,12056,4381,16437,11962,15953,20928,36881,2517,5312
05/14/2019,37784,20889,58673,12125,4404,16529,11939,15925,20889,36814,2527,5330
05/15/2019,37750,20936,58686,12104,4387,16491,11934,15921,20936,36857,2532,5338
05/16/2019,37603,20893,58496,12028,4372,16400,11913,15885,20893,36778,2521,5318
05/17/2019,37387,20859,58246,11886,4320,16206,11908,15875,20859,36734,2515,5306
05/18/2019,37368,20858,58226,11868,4302,16170,11910,15885,20858,36743,2516,5313
05/19/2019,37357,20842,58199,11893,4308,16201,11887,15851,20842,36693,2512,5305
05/20/2019,37369,20822,58191,11921,4307,16228,11880,15830,20822,36652,2515,5311
05/21/2019,37338,20807,58145,11932,4285,16217,11873,15826,20807,36633,2509,5295
05/22/2019,37371,20800,58171,11929,4342,16271,11862,15813,20800,36613,2504,5287
05/23/2019,37425,20799,58224,11962,4335,16297,11867,15823,20799,36622,2512,5305
05/24/2019,37302,20765,58067,11879,4313,16192,11846,15808,20765,36573,2511,5302
05/25/2019,37311,20766,58077,11867,4305,16172,11853,15826,20766,36592,2515,5313
05/26/2019,37265,20762,58027,11846,4307,16153,11840,15808,20762,36570,2511,5304
05/27/2019,37259,20709,57968,11863,4317,16180,11811,15774,20709,36483,2512,5305
05/28/2019,37267,20740,58007,11856,4285,16141,11814,15778,20740,36518,2532,5348
05/29/2019,37332,20708,58040,11936,4316,16252,11792,15755,20708,36463,2521,5325
05/30/2019,37353,20739,58092,11907,4327,16234,11808,15780,20739,36519,2527,5339
05/31/2019,37130,20704,57834,11749,4290,16039,11795,15759,20704,36463,2525,5332
06/01/2019,37057,20686,57743,11691,4284,15975,11787,15751,20686,36437,2522,5331
06/02/2019,37239,20696,57935,11789,4330,16119,11807,15778,20696,36474,2527,5342
06/03/2019,37359,20738,58097,11856,4338,16194,11824,15811,20738,36549,2533,5354
06/04/2019,37391,20713,58104,11912,4358,16270,11802,15778,20713,36491,2529,5343
06/05/2019,37382,20711,58093,11911,4362,16273,11790,15766,20711,36477,2529,5343
06/06/2019,37346,20750,58096,11901,4335,16236,11807,15778,20750,36528,2524,5332
06/07/2019,37255,20719,57974,11840,4327,16167,11793,15771,20719,36490,2516,5317
06/08/2019,37136,20708,57844,11786,4303,16089,11781,15755,20708,36463,2502,5292
06/09/2019,37124,20734,57858,11746,4305,16051,11794,15774,20734,36508,2505,5299
06/10/2019,37276,20734,58010,11832,4327,16159,11792,15775,20734,36509,2526,5342
06/11/2019,37265,20739,58004,11810,4350,16160,11790,15770,20739,36509,2522,5335
06/12/2019,37344,20781,58125,11869,4348,16217,11807,15789,20781,36570,2525,5338
06/13/2019,37376,20763,58139,11882,4372,16254,11804,15788,20763,36551,2522,5334
06/14/2019,37322,20805,58127,11825,4354,16179,11819,15799,20805,36604,2526,5344
06/15/2019,37222,20812,58034,11733,4337,16070,11818,15807,20812,36619,2526,5345
06/16/2019,37267,20795,58062,11792,4350,16142,11807,15797,20795,36592,2518,5328
06/17/2019,37361,20809,58170,11840,4359,16199,11803,15789,20809,36598,2539,5373
06/18/2019,37386,20810,58196,11867,4388,16255,11808,15791,20810,36601,2523,5340
06/19/2019,37412,20803,58215,11871,4375,16246,11817,15803,20803,36606,2534,5363
06/20/2019,37412,20827,58239,11862,4373,16235,11823,15815,20827,36642,2533,5362
06/21/2019,37292,20797,58089,11800,4346,16146,11809,15795,20797,36592,2528,5351
06/22/2019,37177,20762,57939,11734,4336,16070,11790,15783,20762,36545,2515,5324
06/23/2019,37289,20785,58074,11823,4363,16186,11805,15809,20785,36594,2500,5294
06/24/2019,37299,20742,58041,11835,4371,16206,11780,15770,20742,36512,2515,5323
06/25/2019,37299,20721,58020,11849,4378,16227,11770,15759,20721,36480,2510,5313
06/26/2019,37381,20787,58168,11854,4378,16232,11814,15828,20787,36615,2513,5321
06/27/2019,37319,20745,58064,11811,4376,16187,11802,15818,20745,36563,2510,5314
06/28/2019,37263,20772,58035,11778,4359,16137,11813,15826,20772,36598,2503,5300
06/29/2019,37164,20749,57913,11707,4334,16041,11804,15812,20749,36561,2508,5311
06/30/2019,37170,20740,57910,11726,4339,16065,11799,15797,20740,36537,2507,5308
07/01/2019,37098,20728,57826,11708,4287,15995,11786,15768,20728,36496,2521,5335
07/02/2019,37164,20764,57928,11731,4300,16031,11809,15797,20764,36561,2524,5336
07/03/2019,37182,20845,58027,11716,4303,16019,11849,15844,20845,36689,2516,5319
07/04/2019,37015,20845,57860,11580,4254,15834,11837,15842,20845,36687,2527,5339
07/05/2019,37130,20871,58001,11640,4289,15929,11854,15869,20871,36740,2523,5332
07/06/2019,37112,20859,57971,11662,4308,15970,11849,15862,20859,36721,2498,5280
07/07/2019,37174,20864,58038,11700,4330,16030,11847,15856,20864,36720,2503,5288
07/08/2019,37293,20848,58141,11752,4354,16106,11847,15860,20848,36708,2522,5327
07/09/2019,37316,20882,58198,11762,4353,16115,11857,15882,20882,36764,2518,5319
07/10/2019,37379,20943,58322,11798,4351,16149,11882,15918,20943,36861,2514,5312
07/11/2019,37547,20971,58518,11904,4381,16285,11908,15947,20971,36918,2515,5315
07/12/2019,37266,20906,58172,11751,4328,16079,11867,15883,20906,36789,2510,5304
07/13/2019,37170,20910,58080,11673,4331,16004,11870,15887,20910,36797,2497,5279
07/14/2019,37257,20860,58117,11762,4346,16108,11852,15865,20860,36725,2499,5284
07/15/2019,37285,20851,58136,11776,4336,16112,11847,15865,20851,36716,2510,5308
07/16/2019,37273,20846,58119,11796,4342,16138,11833,15849,20846,36695,2501,5286
07/17/2019,37303,20861,58164,11802,4376,16178,11839,15859,20861,36720,2490,5266
07/18/2019,37350,20901,58251,11829,4380,16209,11866,15884,20901,36785,2485,5257
07/19/2019,37244,20871,58115,11762,4348,16110,11854,15860,20871,36731,2494,5274
07/20/2019,37149,20832,57981,11718,4325,16043,11844,15845,20832,36677,2488,5261
07/21/2019,37184,20794,57978,11747,4355,16102,11825,15819,20794,36613,2490,5263
07/22/2019,37319,20846,58165,11799,4376,16175,11863,15871,20846,36717,2496,5273
07/23/2019,37317,20908,58225,11809,4391,16200,11882,15895,20908,36803,2471,5222
07/24/2019,37312,20980,58292,11792,4378,16170,11893,15915,20980,36895,2472,5227
07/25/2019,37327,20924,58251,11822,4384,16206,11865,15874,20924,36798,2482,5247
07/26/2019,37218,20940,58158,11727,4371,16098,11861,15860,20940,36800,2489,5260
07/27/2019,37178,20958,58136,11670,4342,16012,11871,15879,20958,36837,2502,5287
07/28/2019,37310,20979,58289,11746,4374,16120,11883,15895,20979,36874,2506,5295
07/29/2019,37380,21027,58407,11779,4373,16152,11897,15923,21027,36950,2512,5305
07/30/2019,37350,20982,58332,11813,4368,16181,11871,15899,20982,36881,2496,5270
07/31/2019,37392,21010,58402,11833,4382,16215,11884,15904,21010,36914,2498,5273
08/01/2019,37317,21044,58361,11744,4354,16098,11920,15943,21044,36987,2500,5276
08/02/2019,37313,21076,58389,11718,4380,16098,11928,15945,21076,37021,2497,5270
08/03/2019,37295,21099,58394,11740,4354,16094,11946,15971,21099,37070,2478,5230
08/04/2019,37396,21124,58520,11807,4366,16173,11960,15996,21124,37120,2476,5227
08/05/2019,37434,21136,58570,11796,4364,16160,11970,16012,21136,37148,2495,5262
08/06/2019,37510,21146,58656,11841,4380,16221,11975,16026,21146,37172,2497,5263
08/07/2019,37544,21144,58688,11847,4395,16242,11978,16025,21144,37169,2503,5277
08/08/2019,37477,21172,58649,11782,4389,16171,12001,16053,21172,37225,2490,5253
08/09/2019,37400,21184,58584,11747,4350,16097,12008,16064,21184,37248,2483,5239
08/10/2019,37387,21213,58600,11724,4336,16060,12013,16078,21213,37291,2487,5249
08/11/2019,37542,21267,58809,11791,4375,16166,12039,16119,21267,37386,2490,5257
08/12/2019,37675,21273,58948,11865,4376,16241,12052,16138,21273,37411,2509,5296
08/13/2019,37659,21275,58934,11854,4371,16225,12043,16137,21275,37412,2509,5297
08/14/2019,37719,21299,59018,11873,4393,16266,12068,16158,21299,37457,2508,5295
08/15/2019,37741,21341,59082,11889,4400,16289,12093,16182,21341,37523,2497,5270
08/16/2019,37594,21316,58910,11793,4381,16174,12088,16167,21316,37483,2487,5253
08/17/2019,37517,21313,58830,11755,4361,16116,12079,16143,21313,37456,2489,5258
08/18/2019,37694,21375,59069,11846,4413,16259,12103,16175,21375,37550,2490,5260
08/19/2019,37717,21307,59024,11877,4406,16283,12070,16136,21307,37443,2509,5298
08/20/2019,37676,21304,58980,11882,4394,16276,12061,16122,21304,37426,2499,5278
08/21/2019,37683,21334,59017,11853,4397,16250,12081,16148,21334,37482,2502,5285
08/22/2019,37705,21304,59009,11880,4411,16291,12071,16123,21304,37427,2506,5291
08/23/2019,37600,21298,58898,11767,4428,16195,12065,16126,21298,37424,2500,5279
08/24/2019,37574,21293,58867,11746,4414,16160,12074,16136,21293,37429,2498,5278
08/25/2019,37674,21279,58953,11824,4438,16262,12063,16129,21279,37408,2500,5283
08/26/2019,37750,21291,59041,11858,4455,16313,12062,16123,21291,37414,2516,5314
08/27/2019,37717,21235,58952,11887,4450,16337,12032,16083,21235,37318,2508,5297
08/28/2019,37832,21310,59142,11946,4477,16423,12074,16127,21310,37437,2501,5282
08/29/2019,37757,21356,59113,11875,4458,16333,12092,16152,21356,37508,2496,5272
08/30/2019,37566,21343,58909,11706,4430,16136,12082,16131,21343,37474,2508,5299
08/31/2019,37552,21315,58867,11702,4432,16134,12066,16120,21315,37435,2507,5298
09/01/2019,37527,21331,58858,11707,4422,16129,12073,16128,21331,37459,2492,5270
09/02/2019,37634,21344,58978,11772,4438,16210,12084,16152,21344,37496,2493,5272
09/03/2019,37722,21376,59098,11789,4433,16222,12114,16184,21376,37560,2515,5316
09/04/2019,37830,21402,59232,11862,4444,16306,12126,16204,21402,37606,2516,5320
09/05/2019,37889,21483,59372,11861,4468,16329,12155,16249,21483,37732,2512,5311
09/06/2019,37820,21478,59298,11805,4458,16263,12157,16245,21478,37723,2514,5312
09/07/2019,37788,21457,59245,11792,4467,16259,12155,16240,21457,37697,2503,5289
09/08/2019,37961,21515,59476,11867,4488,16355,12197,16306,21515,37821,2508,5300
09/09/2019,38030,21527,59557,11897,4478,16375,12201,16310,21527,37837,2529,5345
09/10/2019,38039,21522,59561,11906,4511,16417,12191,16291,21522,37813,2521,5331
09/11/2019,38022,21582,59604,11878,4513,16391,12215,16311,21582,37893,2515,5320
09/12/2019,38130,21630,59760,11911,4537,16448,12244,16363,21630,37993,2516,5319
09/13/2019,38021,21595,59616,11853,4506,16359,12235,16351,21595,37946,2514,5311
09/14/2019,37916,21595,59511,11825,4481,16306,12227,16332,21595,37927,2500,5278
09/15/2019,38021,21636,59657,11873,4509,16382,12253,16357,21636,37993,2498,5282
09/16/2019,38070,21635,59705,11871,4526,16397,12252,16361,21635,37996,2512,5312
09/17/2019,38031,21590,59621,11875,4546,16421,12209,16312,21590,37902,2507,5298
09/18/2019,38149,21653,59802,11929,4556,16485,12240,16362,21653,38015,2510,5302
09/19/2019,38187,21649,59836,11972,4583,16555,12224,16337,21649,37986,2506,5295
09/20/2019,37980,21623,59603,11844,4537,16381,12208,16324,21623,37947,2497,5275
09/21/2019,37880,21559,59439,11806,4520,16326,12178,16283,21559,37842,2492,5271
09/22/2019,37960,21563,59523,11887,4527,16414,12174,16279,21563,37842,2489,5267
09/23/2019,38039,21612,59651,11911,4510,16421,12207,16332,21612,37944,2499,5286
09/24/2019,38107,21582,59689,11936,4561,16497,12193,16324,21582,37906,2499,5286
09/25/2019,38154,21592,59746,11941,4556,16497,12212,16342,21592,37934,2512,5315
09/26/2019,38221,21620,59841,11952,4579,16531,12224,16355,21620,37975,2521,5335
09/27/2019,38023,21594,59617,11846,4563,16409,12211,16330,21594,37924,2497,5284
09/28/2019,38001,21625,59626,11841,4529,16370,12228,16358,21625,37983,2492,5273
09/29/2019,38149,21670,59819,11917,4556,16473,12249,16387,21670,38057,2500,5289
09/30/2019,38094,21601,59695,11914,4543,16457,12219,16346,21601,37947,2501,5291
10/01/2019,38049,21585,59634,11875,4523,16398,12207,16342,21585,37927,2511,5309
10/02/2019,38149,21616,59765,11898,4541,16439,12236,16383,21616,37999,2519,5327
10/03/2019,38164,21667,59831,11921,4541,16462,12246,16391,21667,38058,2513,5311
10/04/2019,38049,21707,59756,11836,4508,16344,12256,16403,21707,38110,2509,5302
10/05/2019,38051,21675,59726,11860,4518,16378,12237,16384,21675,38059,2503,5289
10/06/2019,38121,21694,59815,11909,4524,16433,12253,16395,21694,38089,2504,5293
10/07/2019,38164,21692,59856,11955,4520,16475,12233,16370,21692,38062,2517,5319
10/08/2019,38219,21713,59932,11993,4553,16546,12239,16379,21713,38092,2505,5294
10/09/2019,38200,21682,59882,12000,4565,16565,12230,16349,21682,38031,2501,5286
10/10/2019,38234,21726,59960,11980,4565,16545,12241,16369,21726,38095,2517,5320
10/11/2019,38164,21738,59902,11911,4546,16457,12243,16366,21738,38104,2530,5341
10/12/2019,38183,21770,59953,11876,4555,16431,12267,16411,21770,38181,2531,5341
10/13/2019,38318,21808,60126,11970,4547,16517,12293,16450,21808,38258,2534,5351
10/14/2019,38350,21756,60106,12014,4568,16582,12277,16418,21756,38174,2534,5350
10/15/2019,38376,21808,60184,12014,4573,16587,12298,16447,21808,38255,2531,5342
10/16/2019,38376,21752,60128,12035,4591,16626,12264,16399,21752,38151,2536,5351
10/17/2019,38196,21718,59914,11920,4578,16498,12244,16361,21718,38079,2529,5337
10/18/2019,38292,21779,60071,11975,4568,16543,12280,16414,21779,38193,2528,5335
10/19/2019,38199,21718,59917,11946,4558,16504,12237,16368,21718,38086,2524,5327
10/20/2019,38213,21732,59945,11951,4551,16502,12246,16366,21732,38098,2532,5345
10/21/2019,38353,21721,60074,12067,4580,16647,12240,16360,21721,38081,2532,5346
10/22/2019,38366,21734,60100,12055,4592,16647,12244,16375,21734,38109,2532,5344
10/23/2019,38423,21769,60192,12080,4596,16676,12252,16399,21769,38168,2535,5348
10/24/2019,38388,21754,60142,12108,4584,16692,12227,16364,21754,38118,2528,5332
10/25/2019,38296,21739,60035,12019,4580,16599,12212,16342,21739,38081,2539,5355
10/26/2019,38246,21767,60013,11957,4574,16531,12226,16367,21767,38134,2536,5348
10/27/2019,38328,21786,60114,12049,4591,16640,12232,16379,21786,38165,2516,5309
10/28/2019,38355,21765,60120,12078,4577,16655,12218,16361,21765,38126,2531,5339
10/29/2019,38415,21766,60181,12116,4598,16714,12213,16356,21766,38122,2535,5345
10/30/2019,38337,21732,60069,12077,4602,16679,12200,16325,21732,38057,2529,5333
10/31/2019,38249,21753,60002,12007,4562,16569,12211,16343,21753,38096,2530,5337
11/01/2019,38019,21746,59765,11880,4500,16380,12197,16326,21746,38072,2517,5313
11/02/2019,38084,21725,59809,11920,4526,16446,12194,16335,21725,38060,2513,5303
11/03/2019,38235,21743,59978,12018,4529,16547,12207,16349,21743,38092,2530,5339
11/04/2019,38221,21730,59951,12044,4504,16548,12192,16322,21730,38052,2536,5351
11/05/2019,38233,21750,59983,12061,4525,16586,12196,16326,21750,38076,2523,5321
11/06/2019,38312,21809,60121,12059,4544,16603,12223,16356,21809,38165,2537,5353
11/07/2019,38335,21835,60170,12077,4566,16643,12230,16369,21835,38204,2523,5323
11/08/2019,38281,21794,60075,12083,4563,16646,12205,16332,21794,38126,2517,5303
11/09/2019,38293,21803,60096,12070,4582,16652,12209,16341,21803,38144,2516,5300
11/10/2019,38368,21860,60228,12112,4576,16688,12242,16387,21860,38247,2513,5293
11/11/2019,38475,21867,60342,12140,4609,16749,12259,16417,21867,38284,2521,5309
11/12/2019,38600,21879,60479,12210,4633,16843,12260,16419,21879,38298,2534,5338
11/13/2019,38612,21876,60488,12236,4626,16862,12255,16414,21876,38290,2533,5336
11/14/2019,38569,21910,60479,12198,4614,16812,12275,16443,21910,38353,2523,5314
11/15/2019,38508,21893,60401,12157,4590,16747,12269,16440,21893,38333,2528,5321
11/16/2019,38424,21883,60307,12108,4616,16724,12263,16411,21883,38294,2513,5289
11/17/2019,38544,21893,60437,12199,4625,16824,12275,16434,21893,38327,2513,5286
11/18/2019,38602,21861,60463,12270,4638,16908,12261,16412,21861,38273,2510,5282
11/19/2019,38558,21847,60405,12282,4618,16900,12242,16384,21847,38231,2505,5274
11/20/2019,38520,21831,60351,12268,4608,16876,12241,16381,21831,38212,2500,5263
11/21/2019,38521,21818,60339,12247,4624,16871,12234,16374,21818,38192,2506,5276
11/22/2019,38402,21779,60181,12205,4599,16804,12219,16338,21779,38117,2497,5260
11/23/2019,38393,21747,60140,12217,4598,16815,12208,16325,21747,38072,2493,5253
11/24/2019,38438,21728,60166,12269,4609,16878,12206,16319,21728,38047,2487,5241
11/25/2019,38468,21767,60235,12229,4625,16854,12228,16342,21767,38109,2504,5272
11/26/2019,38388,21728,60116,12213,4616,16829,12198,16321,21728,38049,2488,5238
11/27/2019,38249,21698,59947,12130,4591,16721,12189,16301,21698,37999,2483,5227
11/28/2019,38168,21706,59874,12022,4587,16609,12197,16308,21706,38014,2496,5251
11/29/2019,38152,21662,59814,12062,4559,16621,12171,16277,21662,37939,2497,5254
11/30/2019,38214,21695,59909,12117,4565,16682,12188,16302,21695,37997,2486,5230
12/01/2019,38365,21683,60048,12241,4594,16835,12179,16298,21683,37981,2487,5232
12/02/2019,38394,21694,60088,12253,4595,16848,12183,16314,21694,38008,2487,5232
12/03/2019,38371,21680,60051,12224,4621,16845,12167,16282,21680,37962,2493,5244
12/04/2019,38325,21618,59943,12231,4630,16861,12149,16243,21618,37861,2482,5221
12/05/2019,38316,21600,59916,12263,4633,16896,12121,16206,21600,37806,2478,5214
12/06/2019,38252,21615,59867,12203,4629,16832,12118,16209,21615,37824,2476,5211
12/07/2019,38293,21628,59921,12204,4640,16844,12128,16220,21628,37848,2485,5229
12/08/2019,38363,21673,60036,12268,4625,16893,12158,16251,21673,37924,2480,5219
12/09/2019,38404,21639,60043,12309,4627,16936,12143,16235,21639,37874,2487,5233
12/10/2019,38355,21624,59979,12267,4662,16929,12129,16215,21624,37839,2476,5211
12/11/2019,38366,21634,60000,12268,4671,16939,12120,16207,21634,37841,2481,5220
12/12/2019,38392,21647,60039,12262,4668,16930,12138,16240,21647,37887,2482,5222
12/13/2019,38286,21625,59911,12227,4612,16839,12120,16214,21625,37839,2488,5233
12/14/2019,38265,21595,59860,12225,4616,16841,12116,16210,21595,37805,2478,5214
12/15/2019,38357,21640,59997,12255,4631,16886,12135,16244,21640,37884,2485,5227
12/16/2019,38435,21628,60063,12344,4631,16975,12124,16232,21628,37860,2486,5228
12/17/2019,38382,21583,59965,12310,4665,16975,12090,16190,21583,37773,2481,5217
12/18/2019,38380,21567,59947,12306,4676,16982,12082,16176,21567,37743,2484,5222
12/19/2019,38440,21544,59984,12348,4687,17035,12074,16171,21544,37715,2489,5234
12/20/2019,38322,21546,59868,12259,4653,16912,12074,16176,21546,37722,2488,5234
12/21/2019,38310,21537,59847,12251,4655,16906,12081,16185,21537,37722,2481,5219
12/22/2019,38377,21540,59917,12310,4659,16969,12089,16195,21540,37735,2478,5213
12/23/2019,38386,21541,59927,12294,4651,16945,12091,16198,21541,37739,2493,5243
12/24/2019,38083,21430,59513,12196,4565,16761,12025,16107,21430,37537,2480,5215
12/25/2019,38194,21461,59655,12263,4574,16837,12040,16120,21461,37581,2491,5237
12/26/2019,38220,21473,59693,12277,4584,16861,12036,16125,21473,37598,2489,5234
12/27/2019,38035,21367,59402,12212,4584,16796,11966,16027,21367,37394,2478,5212
12/28/2019,37987,21302,59289,12245,4570,16815,11921,15976,21302,37278,2470,5196
12/29/2019,38014,21263,59277,12280,4582,16862,11902,15955,21263,37218,2471,5197
12/30/2019,38081,21266,59347,12311,4606,16917,11910,15967,21266,37233,2471,5197
12/31/2019,37705,21322,59027,11965,4543,16508,11931,15992,21322,37314,2474,5205
01/01/2020,38026,21352,59378,12213,4569,16782,11947,16016,21352,37368,2485,5228
01/02/2020,38039,21341,59380,12213,4584,16797,11943,16014,21341,37355,2485,5228
01/03/2020,37963,21288,59251,12159,4586,16745,11914,15979,21288,37267,2489,5239
01/04/2020,37952,21292,59244,12162,4569,16731,11915,15987,21292,37279,2487,5234
01/05/2020,38174,21367,59541,12293,4606,16899,11957,16050,21367,37417,2483,5225
01/06/2020,38171,21327,59498,12327,4611,16938,11934,16007,21327,37334,2483,5226
01/07/2020,38236,21347,59583,12353,4635,16988,11946,16022,21347,37369,2485,5226
01/08/2020,38272,21354,59626,12383,4633,17016,11967,16045,21354,37399,2476,5211
01/09/2020,38356,21457,59813,12391,4656,17047,12017,16102,21457,37559,2475,5207
01/10/2020,38204,21443,59647,12308,4619,16927,12011,16082,21443,37525,2469,5195
01/11/2020,38212,21471,59683,12323,4607,16930,12024,16096,21471,37567,2464,5186
01/12/2020,38281,21493,59774,12383,4636,17019,12023,16092,21493,37585,2458,5170
01/13/2020,38368,21479,59847,12403,4638,17041,12018,16095,21479,37574,2488,5232
01/14/2020,38490,21512,60002,12440,4664,17104,12044,16135,21512,37647,2495,5251
01/15/2020,38400,21505,59905,12404,4658,17062,12031,16115,21505,37620,2481,5223
01/16/2020,38418,21497,59915,12411,4674,17085,12028,16115,21497,37612,2479,5218
01/17/2020,38400,21467,59867,12392,4675,17067,12012,16092,21467,37559,2490,5241
01/18/2020,38368,21422,59790,12400,4695,17095,11989,16065,21422,37487,2474,5208
01/19/2020,38415,21422,59837,12423,4700,17123,11990,16074,21422,37496,2478,5218
01/20/2020,38465,21404,59869,12477,4701,17178,11974,16051,21404,37455,2486,5236
01/21/2020,38512,21445,59957,12490,4722,17212,11987,16070,21445,37515,2483,5230
01/22/2020,38469,21419,59888,12469,4738,17207,11966,16040,21419,37459,2482,5222
01/23/2020,38464,21399,59863,12455,4728,17183,11966,16035,21399,37434,2493,5246
01/24/2020,38330,21356,59686,12391,4691,17082,11946,16015,21356,37371,2489,5233
01/25/2020,38367,21362,59729,12424,4709,17133,11951,16032,21362,37394,2471,5202
01/26/2020,38431,21372,59803,12482,4721,17203,11957,16034,21372,37406,2467,5194
01/27/2020,38466,21370,59836,12484,4734,17218,11952,16031,21370,37401,2478,5217
01/28/2020,38458,21295,59753,12510,4741,17251,11921,15987,21295,37282,2480,5220
01/29/2020,38405,21300,59705,12488,4731,17219,11926,15977,21300,37277,2475,5209
01/30/2020,38374,21268,59642,12504,4731,17235,11903,15927,21268,37195,2476,5212
01/31/2020,38216,21278,59494,12401,4677,17078,11904,15939,21278,37217,2469,5199
02/01/2020,38161,21237,59398,12396,4668,17064,11879,15911,21237,37148,2463,5186
02/02/2020,38231,21252,59483,12454,4680,17134,11881,15921,21252,37173,2458,5176
02/03/2020,38222,21251,59473,12417,4689,17106,11881,15914,21251,37165,2470,5202
02/04/2020,37932,20906,58838,12409,4717,17126,11639,15635,20906,36541,2456,5171
02/05/2020,38032,20941,58973,12479,4711,17190,11662,15665,20941,36606,2457,5177
02/06/2020,38023,20939,58962,12471,4696,17167,11674,15678,20939,36617,2458,5178
02/07/2020,37967,20902,58869,12448,4690,17138,11659,15656,20902,36558,2454,5173
02/08/2020,37971,20854,58825,12464,4704,17168,11623,15598,20854,36452,2468,5205
02/09/2020,38043,20871,58914,12505,4700,17205,11639,15627,20871,36498,2471,5211
02/10/2020,38018,20854,58872,12503,4701,17204,11619,15601,20854,36455,2472,5213
02/11/2020,38032,20868,58900,12522,4702,17224,11627,15613,20868,36481,2463,5195
02/12/2020,38013,20850,58863,12504,4710,17214,11613,15592,20850,36442,2470,5207
02/13/2020,38042,20874,58916,12527,4712,17239,11624,15603,20874,36477,2467,5200
02/14/2020,37969,20837,58806,12482,4680,17162,11614,15600,20837,36437,2471,5207
02/15/2020,38019,20831,58850,12518,4688,17206,11618,15602,20831,36433,2473,5211
02/16/2020,38034,20813,58847,12547,4692,17239,11614,15597,20813,36410,2467,5198
02/17/2020,38077,20796,58873,12566,4717,17283,11603,15592,20796,36388,2470,5202
02/18/2020,38078,20774,58852,12576,4711,17287,11597,15574,20774,36348,2476,5217
02/19/2020,38000,20742,58742,12580,4703,17283,11566,15536,20742,36278,2459,5181
02/20/2020,37989,20730,58719,12603,4693,17296,11554,15511,20730,36241,2459,5182
02/21/2020,37926,20744,58670,12560,4683,17243,11561,15511,20744,36255,2453,5172
02/22/2020,37973,20764,58737,12562,4666,17228,11583,15557,20764,36321,2461,5188
02/23/2020,38026,20748,58774,12582,4690,17272,11579,15557,20748,36305,2466,5197
02/24/2020,37996,20700,58696,12579,4697,17276,11552,15521,20700,36221,2467,5199
02/25/2020,37972,20683,58655,12584,4694,17278,11539,15495,20683,36178,2466,5199
02/26/2020,37853,20654,58507,12521,4690,17211,11516,15454,20654,36108,2461,5188
02/27/2020,37879,20664,58543,12579,4681,17260,11516,15437,20664,36101,2458,5182
02/28/2020,37814,20661,58475,12533,4659,17192,11519,15444,20661,36105,2455,5178
02/29/2020,37790,20690,58480,12535,4660,17195,11519,15448,20690,36138,2441,5147
